Dataset = ogbn-products, batch_size = 1024
Layer_1 11000 | Layer_2 97649 | Layer_3 521106
Epoch 00063 | Loss 0.2970 | Accuracy 0.9112 | Time : 5.2496 | loop 1.7122 | Model 3.5373 | x_y_time 0.0021 | pred 2.5674 | loss_time 0.0050
Epoch 00064 | Loss 0.2979 | Accuracy 0.9095 | Time : 6.7624 | loop 1.7276 | Model 5.0346 | x_y_time 0.0023 | pred 2.5751 | loss_time 0.0045
Epoch 00065 | Loss 0.3017 | Accuracy 0.9075 | Time : 5.5165 | loop 1.7513 | Model 3.7650 | x_y_time 0.0023 | pred 2.5772 | loss_time 0.0015
Epoch 00066 | Loss 0.3013 | Accuracy 0.9053 | Time : 5.3275 | loop 1.7044 | Model 3.6229 | x_y_time 0.0022 | pred 2.5676 | loss_time 0.0016
Epoch 00067 | Loss 0.3024 | Accuracy 0.9097 | Time : 5.1866 | loop 1.6933 | Model 3.4931 | x_y_time 0.0020 | pred 2.5669 | loss_time 0.0016
Epoch 00068 | Loss 0.3045 | Accuracy 0.9081 | Time : 5.2190 | loop 1.6970 | Model 3.5219 | x_y_time 0.0020 | pred 2.5624 | loss_time 0.0038
Epoch 00069 | Loss 0.3064 | Accuracy 0.9103 | Time : 6.7609 | loop 1.7046 | Model 5.0561 | x_y_time 0.0021 | pred 2.5611 | loss_time 0.0016
Epoch 00070 | Loss 0.2959 | Accuracy 0.9130 | Time : 5.3922 | loop 1.7300 | Model 3.6620 | x_y_time 0.0022 | pred 2.5711 | loss_time 0.0020
Epoch 00071 | Loss 0.2956 | Accuracy 0.9099 | Time : 5.4172 | loop 1.7475 | Model 3.6695 | x_y_time 0.0023 | pred 2.5839 | loss_time 0.0051
Epoch 00072 | Loss 0.2995 | Accuracy 0.9126 | Time : 5.3191 | loop 1.7271 | Model 3.5918 | x_y_time 0.0023 | pred 2.5737 | loss_time 0.0022
Epoch 00073 | Loss 0.2928 | Accuracy 0.9122 | Time : 5.4598 | loop 1.7097 | Model 3.7499 | x_y_time 0.0021 | pred 2.5647 | loss_time 0.0022
Epoch 00074 | Loss 0.2925 | Accuracy 0.9129 | Time : 5.4063 | loop 1.7399 | Model 3.6662 | x_y_time 0.0023 | pred 2.5804 | loss_time 0.0038
Epoch 00075 | Loss 0.2969 | Accuracy 0.9127 | Time : 5.1644 | loop 1.6835 | Model 3.4807 | x_y_time 0.0020 | pred 2.5616 | loss_time 0.0016
Epoch 00076 | Loss 0.2997 | Accuracy 0.9087 | Time : 5.3904 | loop 1.7414 | Model 3.6488 | x_y_time 0.0023 | pred 2.5841 | loss_time 0.0036
Epoch 00077 | Loss 0.3134 | Accuracy 0.9084 | Time : 5.1024 | loop 1.6772 | Model 3.4250 | x_y_time 0.0020 | pred 2.5623 | loss_time 0.0016
Epoch 00078 | Loss 0.3019 | Accuracy 0.9086 | Time : 5.0655 | loop 1.6596 | Model 3.4057 | x_y_time 0.0020 | pred 2.5582 | loss_time 0.0015
Epoch 00079 | Loss 0.3021 | Accuracy 0.9081 | Time : 5.0749 | loop 1.6718 | Model 3.4030 | x_y_time 0.0020 | pred 2.5599 | loss_time 0.0016
Epoch 00080 | Loss 0.2983 | Accuracy 0.9130 | Time : 6.6775 | loop 1.7037 | Model 4.9737 | x_y_time 0.0022 | pred 3.9030 | loss_time 0.0039
Epoch 00081 | Loss 0.2941 | Accuracy 0.9082 | Time : 5.4609 | loop 1.7514 | Model 3.7093 | x_y_time 0.0024 | pred 2.5837 | loss_time 0.0020
Epoch 00082 | Loss 0.3008 | Accuracy 0.9126 | Time : 5.5321 | loop 1.7584 | Model 3.7735 | x_y_time 0.0024 | pred 2.5796 | loss_time 0.0019
Epoch 00083 | Loss 0.2958 | Accuracy 0.9085 | Time : 5.3074 | loop 1.7165 | Model 3.5907 | x_y_time 0.0021 | pred 2.5706 | loss_time 0.0020
Epoch 00084 | Loss 0.3014 | Accuracy 0.9118 | Time : 5.3049 | loop 1.7029 | Model 3.6018 | x_y_time 0.0021 | pred 2.5683 | loss_time 0.0021
Epoch 00085 | Loss 0.2949 | Accuracy 0.9118 | Time : 6.8530 | loop 1.7312 | Model 5.1216 | x_y_time 0.0022 | pred 3.9250 | loss_time 0.0019
Epoch 00086 | Loss 0.2983 | Accuracy 0.9125 | Time : 5.4760 | loop 1.7280 | Model 3.7477 | x_y_time 0.0021 | pred 2.5626 | loss_time 0.0016
Epoch 00087 | Loss 0.2931 | Accuracy 0.9101 | Time : 5.0804 | loop 1.6739 | Model 3.4064 | x_y_time 0.0020 | pred 2.5592 | loss_time 0.0016
Epoch 00088 | Loss 0.2987 | Accuracy 0.9083 | Time : 5.4849 | loop 1.7483 | Model 3.7364 | x_y_time 0.0024 | pred 2.5808 | loss_time 0.0028
Epoch 00089 | Loss 0.2997 | Accuracy 0.9128 | Time : 5.3124 | loop 1.6916 | Model 3.6206 | x_y_time 0.0020 | pred 2.5727 | loss_time 0.0019
Epoch 00090 | Loss 0.2976 | Accuracy 0.9093 | Time : 6.6273 | loop 1.7234 | Model 4.9037 | x_y_time 0.0022 | pred 2.5701 | loss_time 0.0024
Epoch 00091 | Loss 0.3082 | Accuracy 0.9072 | Time : 5.4190 | loop 1.7029 | Model 3.7158 | x_y_time 0.0021 | pred 2.5617 | loss_time 0.0037
Epoch 00092 | Loss 0.2983 | Accuracy 0.9114 | Time : 5.4908 | loop 1.7308 | Model 3.7598 | x_y_time 0.0022 | pred 2.5691 | loss_time 0.0042
Epoch 00093 | Loss 0.2945 | Accuracy 0.9130 | Time : 5.4531 | loop 1.7269 | Model 3.7260 | x_y_time 0.0022 | pred 2.5760 | loss_time 0.0016
Epoch 00094 | Loss 0.2933 | Accuracy 0.9106 | Time : 5.0658 | loop 1.6665 | Model 3.3992 | x_y_time 0.0020 | pred 2.5581 | loss_time 0.0015
Epoch 00095 | Loss 0.2940 | Accuracy 0.9112 | Time : 5.4322 | loop 1.7303 | Model 3.7017 | x_y_time 0.0023 | pred 2.5724 | loss_time 0.0015
Epoch 00096 | Loss 0.2954 | Accuracy 0.9127 | Time : 5.4499 | loop 1.7453 | Model 3.7045 | x_y_time 0.0023 | pred 2.5841 | loss_time 0.0020
Epoch 00097 | Loss 0.2952 | Accuracy 0.9097 | Time : 5.3346 | loop 1.7051 | Model 3.6293 | x_y_time 0.0020 | pred 2.5604 | loss_time 0.0018
Epoch 00098 | Loss 0.2984 | Accuracy 0.9105 | Time : 5.4422 | loop 1.7166 | Model 3.7254 | x_y_time 0.0020 | pred 2.5620 | loss_time 0.0024
Epoch 00099 | Loss 0.2996 | Accuracy 0.9096 | Time : 5.5499 | loop 1.7745 | Model 3.7753 | x_y_time 0.0024 | pred 2.5882 | loss_time 0.0036
total for loop time, total model time, total loss time, total_training_time
174.5194, 380.4243, 0.2472, 554.9629
Test Accuracy 0.7905
last_spmm_time, last_cuda_sampling_time
, 
